company,source_type,ats,token,careers_url,enabled,notes
Runway,STARTUP,CUSTOM,,,false,Startup registry seed; verify careers source and ATS before enabling.
ElevenLabs,STARTUP,CUSTOM,,,false,Startup registry seed; verify careers source and ATS before enabling.
Vanta,STARTUP,CUSTOM,,,false,Startup registry seed; verify careers source and ATS before enabling.
Abridge,STARTUP,CUSTOM,,,false,Startup registry seed; verify careers source and ATS before enabling.
Render,STARTUP,CUSTOM,,,false,Startup registry seed; verify careers source and ATS before enabling.
Railway,STARTUP,CUSTOM,,,false,Startup registry seed; verify careers source and ATS before enabling.
Supabase,STARTUP,CUSTOM,,,false,Startup registry seed; verify careers source and ATS before enabling.
Temporal,STARTUP,CUSTOM,,,false,Startup registry seed; verify careers source and ATS before enabling.
Clerk,STARTUP,CUSTOM,,,false,Startup registry seed; verify careers source and ATS before enabling.
Pulley,STARTUP,CUSTOM,,,false,Startup registry seed; verify careers source and ATS before enabling.
Mercury,STARTUP,CUSTOM,,,false,Startup registry seed; verify careers source and ATS before enabling.
Highnote,STARTUP,CUSTOM,,,false,Startup registry seed; verify careers source and ATS before enabling.
Modern Treasury,STARTUP,CUSTOM,,,false,Startup registry seed; verify careers source and ATS before enabling.
Finix,STARTUP,CUSTOM,,,false,Startup registry seed; verify careers source and ATS before enabling.
Column,STARTUP,CUSTOM,,,false,Startup registry seed; verify careers source and ATS before enabling.
Airbyte,STARTUP,CUSTOM,,,false,Startup registry seed; verify careers source and ATS before enabling.
dbt Labs,STARTUP,CUSTOM,,,false,Startup registry seed; verify careers source and ATS before enabling.
MotherDuck,STARTUP,CUSTOM,,,false,Startup registry seed; verify careers source and ATS before enabling.
ClickHouse,STARTUP,CUSTOM,,,false,Startup registry seed; verify careers source and ATS before enabling.
Neon,STARTUP,CUSTOM,,,false,Startup registry seed; verify careers source and ATS before enabling.
Cockroach Labs,STARTUP,CUSTOM,,,false,Startup registry seed; verify careers source and ATS before enabling.
Materialize,STARTUP,CUSTOM,,,false,Startup registry seed; verify careers source and ATS before enabling.
Tailscale,STARTUP,CUSTOM,,,false,Startup registry seed; verify careers source and ATS before enabling.
Modal,STARTUP,CUSTOM,,,false,Startup registry seed; verify careers source and ATS before enabling.
Replicate,STARTUP,CUSTOM,,,false,Startup registry seed; verify careers source and ATS before enabling.
Weights & Biases,STARTUP,CUSTOM,,,false,Startup registry seed; verify careers source and ATS before enabling.
Hightouch,STARTUP,CUSTOM,,,false,Startup registry seed; verify careers source and ATS before enabling.
Census,STARTUP,CUSTOM,,,false,Startup registry seed; verify careers source and ATS before enabling.
Dagster Labs,STARTUP,CUSTOM,,,false,Startup registry seed; verify careers source and ATS before enabling.
Astronomer,STARTUP,CUSTOM,,,false,Startup registry seed; verify careers source and ATS before enabling.
Prefect,STARTUP,CUSTOM,,,false,Startup registry seed; verify careers source and ATS before enabling.
Observe,STARTUP,CUSTOM,,,false,Startup registry seed; verify careers source and ATS before enabling.
Chronosphere,STARTUP,CUSTOM,,,false,Startup registry seed; verify careers source and ATS before enabling.
Cribl,STARTUP,CUSTOM,,,false,Startup registry seed; verify careers source and ATS before enabling.
Honeycomb,STARTUP,CUSTOM,,,false,Startup registry seed; verify careers source and ATS before enabling.
LaunchDarkly,STARTUP,CUSTOM,,,false,Startup registry seed; verify careers source and ATS before enabling.
Clari,STARTUP,CUSTOM,,,false,Startup registry seed; verify careers source and ATS before enabling.
Gong,STARTUP,CUSTOM,,,false,Startup registry seed; verify careers source and ATS before enabling.
Carta,STARTUP,CUSTOM,,,false,Startup registry seed; verify careers source and ATS before enabling.
Deel,STARTUP,CUSTOM,,,false,Startup registry seed; verify careers source and ATS before enabling.
Remote,STARTUP,CUSTOM,,,false,Startup registry seed; verify careers source and ATS before enabling.
Lattice,STARTUP,CUSTOM,,,false,Startup registry seed; verify careers source and ATS before enabling.
Checkr,STARTUP,CUSTOM,,,false,Startup registry seed; verify careers source and ATS before enabling.
Persona,STARTUP,CUSTOM,,,false,Startup registry seed; verify careers source and ATS before enabling.
